id	gene	loc	group	ko
#methods	no	no	no	no
#descriptions	gene name	leaf_or_stem	group	KO_or_OE
Z_adt1_WC_L_4wk_KO	adt1	L	adt1_L_KO	KO
Z_adt3_WC_L_4wk_KO	adt3	L	adt3_L_KO	KO
Z_adt4_WC_L_4wk_KO	adt4	L	adt4_L_KO	KO
Z_adt5_WC_L_4wk_KO	adt5	L	adt5_L_KO	KO
Z_adt6_WC_L_4wk_KO	adt6	L	adt6_L_KO	KO
Z_adt45_WC_L_4wk_KO	adt45	L	adt45_L_KO	KO
Z_adt145_WC_L_4wk_KO	adt145	L	adt145_L_KO	KO
Z_adt345_WC_L_4wk_KO	adt345	L	adt345_L_KO	KO
Z_adt3456_WC_L_4wk_KO	adt3456	L	adt3456_L_KO	KO
Z_AtADT4W_WC_L_4wk_KO	AtADT4W	L	AtADT4W_L_OE	OE
Z_AtADT4mW_WC_L_4wk_KO	AtADT4mW	L	AtADT4mW_L_OE	OE
Z_AtADT5W_WC_L_4wk_KO	AtADT5W	L	AtADT5W_L_OE	OE
Z_AtADT5mW_WC_L_4wk_KO	AtADT5mW	L	AtADT5mW_L_OE	OE
Z_adt1_Tran_S_4wk_KO	adt1	S	adt1_S_KO	KO
Z_adt3_Tran_S_4wk_KO	adt3	S	adt3_S_KO	KO
Z_adt4_Tran_S_4wk_KO	adt4	S	adt4_S_KO	KO
Z_adt5_Tran_S_4wk_KO	adt5	S	adt5_S_KO	KO
Z_adt6_Tran_S_4wk_KO	adt6	S	adt6_S_KO	KO
Z_adt45_Tran_S_4wk_KO	adt45	S	adt45_S_KO	KO
Z_adt145_Tran_S_4wk_KO	adt145	S	adt145_S_KO	KO
Z_adt345_Tran_S_4wk_KO	adt345	S	adt345_S_KO	KO
Z_adt3456_Tran_S_4wk_KO	adt3456	S	adt3456_S_KO	KO
Z_AtADT4W_Tran_S_4wk_KO	AtADT4W	S	AtADT4W_S_OE	OE
Z_AtADT4mW_Tran_S_4wk_KO	AtADT4mW	S	AtADT4mW_S_OE	OE
Z_AtADT5W_Tran_S_4wk_KO	AtADT5W	S	AtADT5W_S_OE	OE
Z_AtADT5mW_Tran_S_4wk_KO	AtADT5mW	S	AtADT5mW_S_OE	OE
