id,uniprot,gene,chrom,start,end
K11592,F4HQG6,AT1G01040,,,
K01507,Q93V56,AT1G01050,,,
K12133,Q6R0H1,AT1G01060,,,
K00161,O24457,AT1G01090,,,
K02942,A8MQK8,AT1G01100,,,
K15397,Q9MAM3,AT1G01120,,,
K03019,Q9LNK0,AT1G01210,,,
K05305,Q9LNJ9,AT1G01220,,,
K09286,Q1ECI2,AT1G01250,,,
K03637,Q39056,AT1G01290,,,
K03255,F4HS98,AT1G01320,,,
K05391,Q9LNJ0,AT1G01340,,,
K13127,Q8GX84,AT1G01350,,,
K14496,Q84MC7,AT1G01360,,,
K11253,Q8RVQ9,AT1G01370,,,
K09422,Q9LNI5,AT1G01380,,,
K08237,W8PVF7,AT1G01390,,,
K00889,Q9LMN1,AT1G01460,,,
K20772,Q06402,AT1G01480,,,
K04464,Q9LMM5,AT1G01560,,,
K15398,Q9LMM1,AT1G01600,,,
K13508,Q9LMM0,AT1G01610,,,
K09872,A8MSF6,AT1G01620,,,
K10523,Q9LQ95,AT1G01640,,,
K01068,F4HU51,AT1G01710,,,
K14500,F4HU55,AT1G01740,,,
K05765,Q9LQ81,AT1G01750,,,
K15440,F4HU58,AT1G01760,,,
K15338,F4HU71,AT1G01880,,,
K01551,B3H5S5,AT1G01910,,,
K12734,Q9LPC7,AT1G01940,,,
K18442,Q9LPC5,AT1G01960,,,
K08679,Q9LPC1,AT1G02000,,,
K15292,F4HVU5,AT1G02010,,,
K12604,F4HVV7,AT1G02080,,,
K12180,Q94JU3,AT1G02090,,,
K15451,Q8VY08,AT1G02100,,,
K07874,P28188,AT1G02130,,,
K12877,O23676,AT1G02140,,,
K03847,A8MR93,AT1G02145,,,
K15404,F4HVY0,AT1G02205,,,
K01363,F4HVZ1,AT1G02300,,,
K19355,Q9FZ29,AT1G02310,,,
K04125,Q9FZ21,AT1G02400,,,
K02258,Q8GWR0,AT1G02410,,,
K00789,P23686,AT1G02500,,,
K05389,Q9FWX6,AT1G02510,,,
K05658,Q9FWX7,AT1G02520,,,
K01358,Q9S834,AT1G02560,,,
K11430,O65312,AT1G02580,,,
K07953,Q3E6Q3,AT1G02620,,,
K15014,Q84XI3,AT1G02630,,,
K15083,F4HXL1,AT1G02670,,,
K03127,Q6NQH4,AT1G02680,,,
K00770,W8QPC8,AT1G02730,,,
K11339,Q4V3E2,AT1G02740,,,
K02885,Q9SRX2,AT1G02780,,,
K01213,P49062,AT1G02790,,,
K01051,Q9SRX4,AT1G02810,,,
K02891,Q9SRX7,AT1G02830,,,
K12890,O22315,AT1G02840,,,
K01188,B3H5Q1,AT1G02850,,,
K16275,Q9SRX9,AT1G02860,,,
K14839,Q8RWK5,AT1G02870,,,
K00949,B3H6N1,AT1G02880,,,
K00799,Q9SRY5,AT1G02920,,,
K06632,Q8L4H0,AT1G02970,,,
K03347,Q9SRZ0,AT1G02980,,,
K13339,Q8RY16,AT1G03000,,,
K17911,Q7XA78,AT1G03055,,,
K06890,Q9SA63,AT1G03070,,,
K01968,Q42523,AT1G03090,,,
K15443,Q93WD7,AT1G03110,,,
K02692,Q9SA56,AT1G03130,,,
K12817,Q9SA55,AT1G03140,,,
K17972,Q8LGI8,AT1G03150,,,
K10844,Q8W4M7,AT1G03190,,,
K16302,Q9ZVS8,AT1G03270,,,
K03136,Q93ZW3,AT1G03280,,,
K12621,Q1H595,AT1G03330,,,
K03679,Q9ZVT7,AT1G03360,,,
K14490,Q8L9T7,AT1G03430,,,
K14501,Q9LR78,AT1G03445,,,
K13207,Q8GZ26,AT1G03457,,,
K00228,Q9LR75,AT1G03475,,,
K14763,Q9LR70,AT1G03530,,,
K08902,Q9LR64,AT1G03600,,,
K00218,F4I2F8,AT1G03630,,,
K03671,O48737,AT1G03680,,,
K17560,Q8GWP1,AT1G03760,,,
K10695,F4I2H5,AT1G03770,,,
